observation_date,10ystandardised,snpcompositestandardised
2011-05-01,-0.96547984,0.570268348
2011-06-01,-0.922194733,0.577740773
2011-07-01,-1.042061181,0.521675611
2011-08-01,-1.23850897,0.563323389
2011-09-01,-1.3417273,0.40961122
2011-10-01,-1.258486711,0.397050953
2011-11-01,-1.288453323,0.433687811
2011-12-01,-1.35171617,0.454786422
2012-01-01,-1.371693912,0.473357595
2012-02-01,-1.321749558,0.536279805
2012-03-01,-1.23850897,0.593322976
2012-04-01,-1.331738429,0.633707035
2012-05-01,-1.451604877,0.630619166
2012-06-01,-1.424967888,0.580993476
2012-07-01,-1.478241865,0.561444294
2012-08-01,-1.458264124,0.601333855
2012-09-01,-1.431627135,0.649322205
2012-10-01,-1.40831977,0.693244677
2012-11-01,-1.441616006,0.687090916
2012-12-01,-1.388342029,0.639498165
2013-01-01,-1.308431064,0.670025217
2013-02-01,-1.35171617,0.73388148
2013-03-01,-1.358375417,0.768946932
2013-04-01,-1.414979018,0.811276019
2013-05-01,-1.261816335,0.833110883
2013-06-01,-1.141949887,0.909087859
2013-07-01,-1.115312899,0.885934332
2013-08-01,-1.055379675,0.940779731
2013-09-01,-1.101994405,0.94232916
2013-10-01,-1.125301769,0.961098132
2013-11-01,-1.065368546,0.997207525
2013-12-01,-0.968809463,1.066997773
2014-01-01,-1.092005534,1.093634769
2014-02-01,-1.095335158,1.109656526
2014-03-01,-1.072027793,1.103810453
2014-04-01,-1.092005534,1.154886673
2014-05-01,-1.155268381,1.155699848
2014-06-01,-1.138620264,1.18373243
2014-07-01,-1.121972146,1.246720573
2014-08-01,-1.198553487,1.275302597
2014-09-01,-1.141949887,1.262588487
2014-10-01,-1.198553487,1.297423172
2014-11-01,-1.255157088,1.235929513
2014-12-01,-1.258486711,1.353839978
2015-01-01,-1.421638265,1.364499171
2015-02-01,-1.315090311,1.335829237
2015-03-01,-1.335068053,1.395191057
2015-04-01,-1.298442194,1.392762519
2015-05-01,-1.275134829,1.409102953
2015-06-01,-1.198553487,1.427871925
2015-07-01,-1.248497841,1.413971018
2015-08-01,-1.245168217,1.408311755
2015-09-01,-1.29511257,1.348675214
2015-10-01,-1.261816335,1.243775559
2015-11-01,-1.245168217,1.332125991
2015-12-01,-1.225190476,1.393454817
2016-01-01,-1.335068053,1.364290383
2016-02-01,-1.401660523,1.215413312
2016-03-01,-1.388342029,1.199831109
2016-04-01,-1.371693912,1.328983177
2016-05-01,-1.368364288,1.387872476
2016-06-01,-1.484901112,1.376894605
2016-07-01,-1.494889983,1.397048174
2016-08-01,-1.4549345,1.468486751
2016-09-01,-1.448275253,1.492717186
2016-10-01,-1.368364288,1.478145958
2016-11-01,-1.19189424,1.462025301
2016-12-01,-1.165257252,1.486167826
2017-01-01,-1.165257252,1.575880877
